josa_name,serial_number,josa_date,coast_name,lat,lng,coast_length,collect_bag,trash_type,josa_status
김철수,20171129093552275,2017/11/29 09:36:14,이천길1,35.2646 ,129.2352 ,60 ,50,1,2
이영희,20171129093222298,2017/11/29 09:36:29,일광면 문동리1,35.3088 ,129.2598 ,93 ,400,2,2
김철수,20171129093652709,2017/11/29 09:38:31,이천길2,35.2649 ,129.2359 ,20 ,50,2,2
홍길동,20171129094046725,2017/11/29 09:42:16,죽성리5,35.2433 ,129.2447 ,79 ,50,2,2
김철수,20171129094838517,2017/11/29 09:49:57,이천길3,35.2649 ,129.2367 ,82 ,350,2,2
홍길동,20171129094811622,2017/11/29 09:49:58,죽성리4,35.2431 ,129.2446 ,43 ,25,2,2
이영희,20171129095122161,2017/11/29 09:55:07,일광면 문동리2,35.3080 ,129.2595 ,37 ,800,1,2
김철수,20171129095717655,2017/11/29 09:58:54,이천길4,35.2649 ,129.2372 ,92 ,500,2,2
이영희,20171129095820133,2017/11/29 09:59:45,일광면 문동리3,35.3074 ,129.259179,83 ,800,2,2
홍길동,20171129100018194,2017/11/29 10:01:15,죽성리3,35.2424 ,129.2449 ,82 ,50,2,2
김철수,20171129100745852,2017/11/29 10:09:39,이천길5,35.2648 ,129.2389 ,83 ,500,2,2
홍길동,20171129101058044,2017/11/29 10:12:24,죽성리2,35.2433 ,129.2445 ,97 ,25,2,2
이영희,20171129101138948,2017/11/29 10:14:57,일광면 문동리4,35.3069 ,129.2588 ,39 ,800,1,2
김철수,20171129101535943,2017/11/29 10:17:09,이천길6,35.2649 ,129.2393 ,86 ,500,2,2
홍길동,20171129101927292,2017/11/29 10:20:29,죽성리1,35.2419 ,129.2462 ,89 ,25,2,2
김철수,20171129102249796,2017/11/29 10:24:24,이천길7,35.2652 ,129.2408 ,75 ,400,2,2
이영희,20171129102413693,2017/11/29 10:25:39,일광면 문동리5,35.3065 ,129.2581 ,38 ,0,1,2
이영희,20171129103204065,2017/11/29 10:34:31,일광면 문동리6,35.3039 ,129.2587 ,80 ,12.5,5,2
김철수,20171129103728280,2017/11/29 10:41:04,이천길8,35.2651 ,129.2420 ,50 ,4000,3,2
이영희,20171129104719381,2017/11/29 10:48:48,일광면 문중리1,35.3030 ,129.2590 ,62 ,0,1,2
김철수,20171129104818052,2017/11/29 10:50:39,이천길9,35.2626 ,129.2332 ,51 ,800,1,2
이영희,20171129105236436,2017/11/29 10:54:05,일광면 문중리2,35.3014 ,129.2593 ,21 ,100,2,2
김철수,20171129110132094,2017/11/29 11:07:58,이천길10,35.2648 ,129.2428 ,41 ,400,1,2
이영희,20171129111207420,2017/11/29 11:13:28,일광면 칠암마을1,35.2993 ,129.2596 ,94 ,100,2,2
김철수,20171129111508084,2017/11/29 11:18:00,이천길11,35.2637 ,129.2430 ,55 ,50,4,2
김철수,20171129112206774,2017/11/29 11:24:57,이천길12,35.2649 ,129.2433 ,95 ,50,2,2
김철수,20171129113333612,2017/11/29 11:35:31,이천길13,35.2661 ,129.2434 ,59 ,150,1,2
이영희,20171129113440411,2017/11/29 11:36:25,일광면 칠암마을2,35.2977 ,129.2601 ,73 ,60,1,2
이영희,20171129114205261,2017/11/29 11:43:52,일광면 칠암마을3,35.2966 ,129.2611 ,71 ,200,1,2
이영희,20171129131359294,2017/11/29 13:15:29,일광면 기장수산 앞1,35.2956 ,129.2605 ,70 ,200,1,2
이영희,20171129131941590,2017/11/29 13:21:10,일광면 기장수산 앞2,35.2942 ,129.2604 ,70 ,100,2,2
김철수,20171129133231326,2017/11/29 13:36:48,한국유리길1,35.2665 ,129.2441 ,30 ,800,1,2
김철수,20171129134320287,2017/11/29 13:45:11,한국유리길2,35.2676 ,129.2443 ,33 ,300,1,2
이영희,20171129134734131,2017/11/29 13:49:13,일광면 신평리1,35.2934 ,129.2605 ,61 ,400,1,2
홍길동,20171129134812803,2017/11/29 13:49:34,학리마을1,35.2579 ,129.2404 ,96 ,0,2,2
김철수,20171129134836593,2017/11/29 13:50:15,한국유리길3,35.2686 ,129.2439 ,51 ,800,1,2
이영희,20171129135110020,2017/11/29 13:57:16,일광면 신평리2,35.2917 ,129.2599 ,76 ,480,1,2
홍길동,20171129135853060,2017/11/29 14:00:12,학리마을2,35.2586 ,129.2411 ,86 ,0,1,2
김철수,20171129135759817,2017/11/29 14:00:16,한국수자원관리공단1,35.2708 ,129.2440 ,49 ,200,1,2
김철수,20171129140236078,2017/11/29 14:05:38,한국수자원관리공단2,35.2711 ,129.2442 ,48 ,70,4,2
홍길동,20171129140614852,2017/11/29 14:07:09,학리마을3,35.2592 ,129.2419 ,46 ,0,2,2
이영희,20171129140838217,2017/11/29 14:10:30,일광면 동백리1,35.2893 ,129.2569 ,63 ,100,5,2
김철수,20171129141016200,2017/11/29 14:12:08,이동길1,35.2716 ,129.2447 ,46 ,50,1,2
홍길동,20171129141302934,2017/11/29 14:14:05,학리마을4,35.2591 ,129.2427 ,52 ,0,4,2
김철수,20171129141754186,2017/11/29 14:19:26,이동길2,35.2721 ,129.2453 ,25 ,100,1,2
김철수,20171129142308043,2017/11/29 14:24:50,이동길3,35.2725 ,129.2459 ,88 ,50,1,2
홍길동,20171129142620329,2017/11/29 14:27:28,학리마을5,35.2593 ,129.2433 ,40 ,0,1,2
김철수,20171129142811900,2017/11/29 14:29:54,이동항길1,35.2725 ,129.2467 ,34 ,500,1,2
김철수,20171129143233653,2017/11/29 14:34:22,이동항방파제1,35.2718 ,129.2466 ,93 ,400,1,2
홍길동,20171129143448796,2017/11/29 14:35:48,학리마을6,35.2598 ,129.2434 ,54 ,0,2,2
김철수,20171129143704376,2017/11/29 14:39:11,이동항방파제2,35.2699 ,129.2465 ,73 ,200,2,2
홍길동,20171129143828554,2017/11/29 14:39:24,학리마을7,35.2601 ,129.2439 ,73 ,0,2,2
이영희,20171129144027754,2017/11/29 14:42:10,일광면 동백리2,35.2877 ,129.2574 ,56 ,200,2,2
김철수,20171129144148546,2017/11/29 14:43:39,이동항방파제3,35.2713 ,129.2468 ,38 ,200,2,2
홍길동,20171129144415810,2017/11/29 14:45:15,학리마을8,35.2598 ,129.2444 ,55 ,0,2,2
이영희,20171129144614121,2017/11/29 14:48:24,일광면 동백리3,35.2856 ,129.2586 ,89 ,100,5,2
홍길동,20171129144922647,2017/11/29 14:50:17,학리마을9,35.2595 ,129.2449 ,32 ,0,4,2
김철수,20171129145300642,2017/11/29 14:54:52,이동항길2,35.2722 ,129.2484 ,41 ,200,1,2
이영희,20171129145445053,2017/11/29 14:55:41,일광면 동백리4,35.2837 ,129.2589 ,65 ,50,2,2
이영희,20171129150110545,2017/11/29 15:02:33,일광면 동백리5,35.2834 ,129.2597 ,58 ,50,2,2
홍길동,20171129151248927,2017/11/29 15:14:10,학리마을10,35.2591 ,129.2450 ,35 ,0,1,2
김철수,20171129151252406,2017/11/29 15:15:02,이동항어촌계,35.2720 ,129.2492 ,66 ,100,1,2
최동욱,20171129151056139,2017/11/29 15:17:35,오랑대1,35.2063 ,129.2267 ,88 ,400,1,2
이영희,20171129151732910,2017/11/29 15:19:35,일광면 동백리6,35.2826 ,129.2582 ,89 ,50,2,2
강지영,20171129151308162,2017/11/29 15:21:19,연화리1,35.2063 ,129.2267 ,45 ,800,4,2
최동욱,20171129151928803,2017/11/29 15:22:13,오랑대2,35.2059 ,129.2272 ,88 ,1600,4,2
홍길동,20171129152102403,2017/11/29 15:23:27,학리마을11,35.2582 ,129.2451 ,20 ,0,3,2
김철수,20171129152230138,2017/11/29 15:26:07,일광로1,35.2721 ,129.2502 ,45 ,2400,2,2
정수진,20171129152743620,2017/11/29 15:28:54,죽성1,35.2387 ,129.2462 ,94 ,2400,2,2
이영희,20171129152648474,2017/11/29 15:29:04,일광면 동백리7,35.2812 ,129.2546 ,21 ,50,2,2
최동욱,20171129152338247,2017/11/29 15:29:07,오랑대3,35.2056 ,129.2276 ,93 ,3200,4,2
강지영,20171129152146910,2017/11/29 15:32:08,연화리2,35.2072 ,129.2259 ,92 ,1600,2,2
윤서연,20171129152139890,2017/11/29 15:33:19,수과원1,35.1954 ,129.2246 ,61 ,1600,4,2
정수진,20171129153104642,2017/11/29 15:34:29,죽성2,35.2398 ,129.2472 ,58 ,300,2,2
이영희,20171129153359581,2017/11/29 15:35:16,일광면 동백리8,35.2776 ,129.2551 ,86 ,800,2,2
김철수,20171129153135405,2017/11/29 15:36:48,일광로2,35.2717 ,129.2511 ,53 ,37.5,5,2
정수진,20171129153743082,2017/11/29 15:38:00,죽성15,35.2387 ,129.2462 ,24 ,300,2,2
최동욱,20171129153053816,2017/11/29 15:38:03,오랑대4,35.2054 ,129.2281 ,88 ,400,2,2
윤서연,20171129153444415,2017/11/29 15:40:18,수과원2,35.1949 ,129.2246 ,76 ,800,2,2
윤서연,20171129154203135,2017/11/29 15:47:40,수과원3,35.1944 ,129.2246 ,68 ,800,2,2
최동욱,20171129153958800 ,2017/11/29 15:48:35,오랑대5,35.2037 ,129.2300 ,35 ,50,4,2
강지영,20171129154235224,2017/11/29 15:51:43,연화리3,35.2080 ,129.2247 ,39 ,2880,2,2
최동욱,20171129155317415,2017/11/29 15:57:36,프리미엄콘도1,35.2018 ,129.2292 ,77 ,50,2,2
정수진,20171129155631978,2017/11/29 16:01:49,죽성3,35.2357 ,129.2430 ,63 ,2400,2,2
박민수,20171129155550311,2017/11/29 16:01:59,수과원4,35.1940 ,129.2247 ,78 ,1600,2,2
최동욱,20171129155818636,2017/11/29 16:02:08,프리미엄콘도2,35.2012 ,129.2298 ,91 ,100,2,2
이영희,20171129160159376,2017/11/29 16:03:38,일광면 이천리1,35.2742 ,129.2547 ,90 ,50,2,2
최동욱,20171129160300092,2017/11/29 16:08:25,프리미엄콘도3,35.2010 ,129.2301 ,88 ,50,2,2
정수진,20171129160245200 ,2017/11/29 16:08:33,죽성4,35.2353 ,129.2435 ,27 ,4800,4,2
김철수,20171129160547402,2017/11/29 16:08:57,일광로3,35.2721 ,129.2535 ,56 ,100,1,2
강지영,20171129161057281,2017/11/29 16:11:51,연화리4,35.2099 ,129.2230 ,46 ,200,1,2
최동욱,20171129160910109,2017/11/29 16:13:09,프리미엄콘도4,35.1980 ,129.2292 ,32 ,200,2,2
정수진,20171129160921777,2017/11/29 16:14:20,죽성5,35.2383 ,129.2440 ,66 ,4800,4,2
박민수,20171129161229493,2017/11/29 16:17:08,수과원5,35.1935 ,129.2250 ,45 ,800,1,2
최동욱,20171129161400597,2017/11/29 16:17:35,프리미엄콘도5,35.1976 ,129.2287 ,44 ,100,2,2
이영희,20171129161637081,2017/11/29 16:20:04,일광면 이천리2,35.2730 ,129.2535 ,29 ,50,2,2
정수진,20171129161452545,2017/11/29 16:20:05,죽성6,35.2344 ,129.2440 ,52 ,2400,5,2
강지영,20171129161922113,2017/11/29 16:20:56,연화리5,35.2105 ,129.2230 ,40 ,200,2,2
박민수,20171129161727796,2017/11/29 16:21:46,수과원6,35.1928 ,129.2250 ,65 ,150,2,2
정수진,20171129162033156,2017/11/29 16:26:12,죽성7,35.2338 ,129.2447 ,43 ,2400,5,2
최동욱,20171129162258735,2017/11/29 16:27:21,동암항1,35.1962 ,129.2283 ,68 ,200,2,2
정수진,20171129162636995,2017/11/29 16:30:52,죽성8,35.2330 ,129.2447 ,99 ,100,1,2
강지영,20171129162907036,2017/11/29 16:31:18,연화리6,35.2112 ,129.2228 ,64 ,800,2,2
최동욱,20171129163015021,2017/11/29 16:34:56,동암항2,35.1962 ,129.2257 ,28 ,240,1,2
정수진,20171129163120100 ,2017/11/29 16:35:18,죽성9,35.2325 ,129.2444 ,36 ,4800,4,2
강지영,20171129163841133,2017/11/29 16:40:33,연화리7,35.2125 ,129.2219 ,94 ,1600,1,2
